ISLAND CITY MALL,,,,,
POS UNPOSTED SALES,,,,,
"AS OF JUNE 21, 2022",,,,,
Item No.,Variant Code,Description,Quantity,Unit Cost,Amount
100978,,STAR MARG SWT 250G,99,36.38332,"3,601.95"
100984,,K SIN SAMP OR Y 40G,76,13.32148,"1,012.43"
100986,,KNR CRAB CORN 60G,176,31.37638,"5,522.24"
100989,,LC CHKN SPRD 220ML,34,54.43427,"1,850.77"
100990,,LC CHCKN SPRD 470ML,11,114.58908,"1,260.48"
100991,,LC TUNA SPRD 470ML,7,116.61153,816.28
100992,,BF SAL SW MATE 220ML,60,24.15532,"1,449.32"
100993,,BF SAL SW MATE 470ML,18,59.90289,"1,078.25"
100995,,BF SAL SW MATE 3.5L,4,250.97655,"1,003.91"
101004,,LC THSND I DRS 236ML,8,63.37874,507.03
101005,,LC CAESAR DRS 236ML,11,60.84922,669.34
101017,,3A SP PIN PLVRN 24s,2,53.57143,107.14
101020,,TAIRU C MILK 233ML,279,28.57143,"7,971.43"
101029,,KNR S SAMP GABI 22G,287,8.50015,"2,439.54"
101046,,SNOWBEAR,"17,600",0.36501,"6,424.18"
101055,,SILKA PPYA WS 90G,40,18.12378,724.95
101056,,SILKA PPYA WS 135G,97,21.44095,"2,079.77"
101058,,S GRN PPYA SOAP 90G,35,19.39119,678.69
101059,,S GRN PPYA SP 135G,52,23.88762,"1,242.16"
101060,,SLKA FC PPYA 150ML,124,21.32856,"2,644.74"
101061,,SLKA FC AVCDO 75ML,56,13.98091,782.93
101062,,SLKA FC AVCDO 150ML,8,23.10301,184.82
101063,,SLKA FC CLEAR 75ML,26,14.09271,366.41
101068,,DEF SG SH CLR 50ML,15,8.86368,132.96
101080,,COL FC LEMON YEL,960,0.5219,501.02
101081,,COLUMBUS FC GRN,485,0.4135,200.55
101082,,COL FC SBERRY RED,455,0.413,187.92
101083,,COL FC CHOCO BRWN,300,0.41795,125.39
101090,,MONAMI SB CRM 50s,70,17.44216,"1,220.95"
101096,,FLAT TOPS 10s,52,9.07415,471.86
101099,,CURLY TOPS 24s,28,21.06905,589.93
101100,,CURLY TOPS 10s,90,9.17996,826.2
101110,,CAFE PURO ECO 50G,67,24.8934,"1,667.86"
101112,,CAFE PURO RC 50G,42,35.86708,"1,506.42"
101116,,FIB PNT CRNCH 600G,1,77.73765,77.74
101117,,FIB BTR CRNCH 600G,12,100.77151,"1,209.26"
101120,,FIB CHCO CRNCHS 6s,41,11.93506,489.34
101121,,FIB CHOC CHIPS 4s,167,6.81349,"1,137.85"
101122,,FIB CHOC CHIPS 600G,16,94.65329,"1,514.45"
101125,,WC 69 WHSKY 350ML,3,25.90474,77.71
101126,,WC 69 WHSKY 700ML,7,52.4334,367.03
101127,,TOSKA VODKA 700ML,6,87.36012,524.16
101128,,MC SANGRIA 750ML,139,103.09895,"14,330.75"
101130,,EL H TEQ SLVR 700ML,13,105.77347,"1,375.06"
101135,,MM YD ORIG 100ML,"1,304",6.4375,"8,394.50"
101136,,AXN PST L/KAL 350G,85,36.70429,"3,119.86"
101138,,MILK M YD SBRRY 100ML,"1,820",6.4375,"11,716.25"
101144,,AXN DL LME/KAL 190ML,33,23.32593,769.76
101145,,AX UL LIQ LMN 250ML,10,38.60788,386.08
101148,,AXN PST LME/KAL 190G,252,20.69256,"5,214.53"
101184,,PONS MSTR SMTH 115G,6,17.64983,105.9
101185,,PONS PKSH GLW 115G,10,18.70651,187.07
101186,,CS HC COL REV 10ML,963,4.24107,"4,084.15"
101188,,TC SOAP CL MILD 115G,11,17.09662,188.06
101189,,TC SOAP PK BLSM 80G,13,12.55198,163.18
101191,,SSK SH COCO HYD 11ML,357,3.79464,"1,354.69"
101193,,SSK SHP WM M 11ML,111,3.79464,421.21
101196,,GB SP SUP GRSE 30G,1,66.96429,66.96
101197,,CTB TWSTR F W/CAP M,15,27.22874,408.43
101199,,CTB EC W/CAP MED,9,15.94573,143.51
101204,,TL ALOE VERA CW 20s,164,13.61607,"2,233.04"
101209,,CTP GRF 37G,65,13.67505,888.88
101210,,COL TP GRF 74G,88,24.13115,"2,123.54"
101211,,COL TP GRF 140G,89,36.2378,"3,225.16"
101229,,CTP TTL 12 PW 150G,10,59.63741,596.37
101232,,CTP TAS OM 25ML,76,12.21872,928.62
101233,,CTP TAS OM 145ML,54,54.85967,"2,962.42"
101241,,TC TALC PINK SFT 100G,2,23.57097,47.14
101245,,TC TALC CM ORIG 100G,23,20.21913,465.04
101249,,COL PLAX FM 250ML,10,78.465,784.65
101276,,CMB075 PPOT BLK,70,0.61459,43.02
101277,,555 MCKRL TS 155G,23,8.62206,198.31
101279,,555 SRD TS CHLI 155G,259,8.51925,"2,206.49"
101281,,555 SARD NO 155G,115,8.65291,995.08
101285,,CT FLKS N V OIL 180G,249,23.38132,"5,821.95"
101286,,CT FLKS H SPCY 180G,1,23.16864,23.17
101287,,CT FLKS H SPCY 155G,"1,272",19.06589,"24,251.81"
101289,,CT SOLID N OIL 184G,34,27.96332,950.75
101291,,CT FLKS ADOBO 155G,220,15.14411,"3,331.70"
101294,,CT FLKS AFRI 155G,145,15.26842,"2,213.92"
101296,,CT FLKS CLDRTA 155G,87,15.08948,"1,312.78"
101298,,FRESCA TUNA OIL 175G,"1,119",13.04128,"14,593.19"
101299,,FRESCA TUNA HS 175G,610,13.0109,"7,936.65"
101300,,FT MECHADO 175G,376,14.66109,"5,512.57"
101301,,FT AFRITADA 175G,"1,232",14.66109,"18,062.46"
101305,,555 T MCHADO 155G,91,14.44802,"1,314.77"
101306,,555 T HOT SPCY 155G,103,17.74339,"1,827.57"
101307,,555 T AFRITADA 155G,332,14.50077,"4,814.26"
101308,,555 T ADOBO 155G,317,14.45394,"4,581.90"
101309,,555 T CLDRETA 155G,268,14.54256,"3,897.41"
101311,,555 T FLKS N OIL 155G,180,17.74339,"3,193.81"
101313,,FT LCHN PKSIW 175G,393,12.60269,"4,952.86"
101315,,555 C NORTE 100G,19,10.22399,194.26
101316,,555 C NORTE 150G,37,15.4594,572
101327,,T CONDOMS SBRY 3s,17,4.69094,79.75
101329,,T CONDOMS C NAT 3s,13,4.69095,60.98
101332,,COL SWT TREATS,3,85.44643,256.34
101342,,LINGZHI 3NI COF 21G,61,9.63401,587.67
101355,,R COCOA SWTD 150G,19,12.77406,242.71
