PLAZA MARCELA -SM,,,,,,
INVENTORY VALUATION REPORT,,,,,,
"AS OF NOVEMBER 5, 2021",,,,,,
INCODE,VARIANT,DESC,UNIT,QUANTITY,COST W/O VAT,AMOUNT W/O VAT
100917,,CERES OIL OF WINTERGREEN 72x60ML,BOT,16,19.35708,309.71328
100918,,CERES OIL OF WINTERGREEN 72x120ML,BOT,18,34.85714,627.42852
100919,,CERES ACEITE DE MANZANILLA 144x25ML,BOT,17,8.92857,151.78569
100920,,CERES HYDROGN PERXIDE V10 PL 72x120ML,PCS,12,8.85714,106.28568
100927,,WHITE RABBIT 40/100s,PCS,"16,900.00",0.58152,"9,827.69"
100928,,KENDIMINT 40/100s,PCS,"22,200.00",0.58147,"12,908.63"
100932,,CARTOLINA IMPORTED WHITE 100s,PCS,91,2.99108,272.18828
100935,,NIPS PORTA PACK 6/12/90G,PCS,64,28.40179,"1,817.71"
100938,,GREAT TASTE COFFEE GRANULES BP 48/25G,PACK,244,15.85249,"3,868.01"
100939,,GREAT TASTE COFFEE GRANULES BP 24/50G,PACK,1,31.51375,31.51375
100940,,GREAT TASTE COFFEE GRANULES 24/100G,PACK,6,62.94643,377.67858
100942,,BLEND 45 COFFEE BP 48/25G,PACK,155,13.97312,"2,165.83"
100950,,CAMEL SUKANG PUTI 4/3.8L,GAL,6,62.5,375
100951,,CAMEL SOY SAUCE 24/320ML,BOT,-1,8.63393,-8.63393
100952,,CAMEL SOY SAUCE 12/1L,BOT,123,35.04241,"4,310.22"
100953,,CAMEL SOY SAUCE 6/1/2 GAL PLASTIC,½GAL,71,66.34077,"4,710.19"
100956,,ZIM CLEANSER FLORAL REFILL 48/350G,PACK,33,15.6751,517.2783
100957,,ZIM CLEANSER FLORAL SCENT 24/500G,PCS,57,31.51479,"1,796.34"
100958,,ZIM CLEANSER CALAMANSI 48/350G REFILL,PACK,79,15.675,"1,238.33"
